employee_id,department,clock_in,clock_out,tasks_completed
68,HR,2026-06-15 10:26:00,2026-06-15 15:26:00,0
69,Sales,2026-06-15 10:32:00,2026-06-15 18:32:00,15
70,Finance,2026-06-15 10:48:00,2026-06-15 14:48:00,11
71,Sales,2026-06-15 09:28:00,2026-06-15 18:28:00,5
72,Finance,2026-06-15 08:36:00,2026-06-15 16:36:00,16
73,HR,2026-06-15 08:30:00,2026-06-15 14:30:00,0
74,Sales,2026-06-15 10:20:00,2026-06-15 14:20:00,2
75,Sales,2026-06-15 09:24:00,2026-06-15 14:24:00,2
76,Sales,2026-06-15 09:23:00,2026-06-15 14:23:00,14
77,HR,2026-06-15 10:01:00,2026-06-15 16:01:00,9
78,HR,2026-06-15 09:16:00,2026-06-15 13:16:00,8
79,Finance,2026-06-15 09:47:00,2026-06-15 17:47:00,9
80,Finance,2026-06-15 09:34:00,2026-06-15 14:34:00,12
81,Sales,2026-06-15 09:06:00,2026-06-15 13:06:00,3
82,IT,2026-06-15 08:07:00,2026-06-15 17:07:00,15
83,HR,2026-06-15 10:22:00,2026-06-15 17:22:00,1
84,HR,2026-06-15 10:21:00,2026-06-15 16:21:00,16
85,Sales,2026-06-15 09:05:00,2026-06-15 18:05:00,10
86,Sales,2026-06-15 08:32:00,2026-06-15 16:32:00,11
87,Sales,2026-06-15 08:38:00,2026-06-15 15:38:00,5
88,IT,2026-06-15 09:46:00,2026-06-15 15:46:00,7
89,Sales,2026-06-15 08:49:00,2026-06-15 15:49:00,9
90,HR,2026-06-15 10:16:00,2026-06-15 16:16:00,4
91,HR,2026-06-15 08:22:00,2026-06-15 12:22:00,11
92,IT,2026-06-15 08:57:00,2026-06-15 13:57:00,0
93,Finance,2026-06-15 09:31:00,2026-06-15 18:31:00,15
94,IT,2026-06-15 08:52:00,2026-06-15 12:52:00,15
95,IT,2026-06-15 10:04:00,2026-06-15 19:04:00,2
96,Sales,2026-06-15 09:15:00,2026-06-15 15:15:00,4
97,HR,2026-06-15 08:28:00,2026-06-15 17:28:00,4
98,Finance,2026-06-15 08:29:00,2026-06-15 17:29:00,19
99,IT,2026-06-15 09:25:00,2026-06-15 17:25:00,6
100,Sales,2026-06-15 08:29:00,2026-06-15 16:29:00,9
101,HR,2026-06-15 08:35:00,2026-06-15 13:35:00,19
102,Finance,2026-06-15 09:57:00,2026-06-15 15:57:00,0
103,Sales,2026-06-15 08:44:00,2026-06-15 15:44:00,15
104,Sales,2026-06-15 10:01:00,2026-06-15 14:01:00,19
105,Sales,2026-06-15 09:34:00,2026-06-15 16:34:00,0
106,IT,2026-06-15 08:50:00,2026-06-15 14:50:00,4
107,Sales,2026-06-15 10:00:00,2026-06-15 14:00:00,7
108,HR,2026-06-15 10:43:00,2026-06-15 18:43:00,12
109,Sales,2026-06-15 10:45:00,2026-06-15 15:45:00,18
110,HR,2026-06-15 10:22:00,2026-06-15 14:22:00,7
111,IT,2026-06-15 09:09:00,2026-06-15 14:09:00,1
112,Finance,2026-06-15 08:06:00,2026-06-15 15:06:00,17
113,IT,2026-06-15 10:28:00,2026-06-15 17:28:00,3
114,HR,2026-06-15 08:08:00,2026-06-15 14:08:00,16
115,Finance,2026-06-15 09:48:00,2026-06-15 18:48:00,4
116,Sales,2026-06-15 08:54:00,2026-06-15 16:54:00,2
117,IT,2026-06-15 09:16:00,2026-06-15 13:16:00,19
118,Sales,2026-06-15 08:21:00,2026-06-15 16:21:00,18
119,IT,2026-06-15 08:40:00,2026-06-15 14:40:00,11
120,IT,2026-06-15 10:27:00,2026-06-15 19:27:00,19
121,Finance,2026-06-15 09:46:00,2026-06-15 17:46:00,4
122,Finance,2026-06-15 08:51:00,2026-06-15 14:51:00,3
123,IT,2026-06-15 10:15:00,2026-06-15 14:15:00,6
124,IT,2026-06-15 08:41:00,2026-06-15 13:41:00,6
125,HR,2026-06-15 10:57:00,2026-06-15 18:57:00,2
126,Finance,2026-06-15 08:42:00,2026-06-15 14:42:00,17
127,Finance,2026-06-15 08:09:00,2026-06-15 13:09:00,11
128,IT,2026-06-15 08:37:00,2026-06-15 17:37:00,12
129,Sales,2026-06-15 09:08:00,2026-06-15 14:08:00,1
130,IT,2026-06-15 08:36:00,2026-06-15 17:36:00,18
131,Sales,2026-06-15 08:00:00,2026-06-15 17:00:00,19
132,IT,2026-06-15 10:06:00,2026-06-15 14:06:00,12
133,Sales,2026-06-15 09:59:00,2026-06-15 15:59:00,11
134,HR,2026-06-15 10:26:00,2026-06-15 15:26:00,18
135,Finance,2026-06-15 09:02:00,2026-06-15 17:02:00,12
136,HR,2026-06-15 09:57:00,2026-06-15 16:57:00,7
137,IT,2026-06-15 10:40:00,2026-06-15 14:40:00,2
138,IT,2026-06-15 09:56:00,2026-06-15 16:56:00,16
139,IT,2026-06-15 08:37:00,2026-06-15 16:37:00,5
140,HR,2026-06-15 08:31:00,2026-06-15 16:31:00,14
141,IT,2026-06-15 09:20:00,2026-06-15 15:20:00,4
142,Sales,2026-06-15 10:18:00,2026-06-15 17:18:00,17
143,Finance,2026-06-15 08:48:00,2026-06-15 17:48:00,14
144,Finance,2026-06-15 08:52:00,2026-06-15 17:52:00,2
145,Sales,2026-06-15 10:56:00,2026-06-15 16:56:00,11
146,HR,2026-06-15 09:11:00,2026-06-15 16:11:00,7
147,HR,2026-06-15 09:07:00,2026-06-15 14:07:00,17
148,Sales,2026-06-15 08:40:00,2026-06-15 15:40:00,16
149,IT,2026-06-15 08:52:00,2026-06-15 15:52:00,12
150,Sales,2026-06-15 08:12:00,2026-06-15 17:12:00,2
151,IT,2026-06-15 09:17:00,2026-06-15 15:17:00,4
152,Finance,2026-06-15 08:01:00,2026-06-15 13:01:00,17
153,Finance,2026-06-15 08:04:00,2026-06-15 12:04:00,0
154,HR,2026-06-15 10:48:00,2026-06-15 16:48:00,16
155,IT,2026-06-15 08:33:00,2026-06-15 12:33:00,2
156,Finance,2026-06-15 08:20:00,2026-06-15 17:20:00,16
157,IT,2026-06-15 10:04:00,2026-06-15 19:04:00,2
158,IT,2026-06-15 10:36:00,2026-06-15 18:36:00,4
159,HR,2026-06-15 09:18:00,2026-06-15 13:18:00,13
160,IT,2026-06-15 09:00:00,2026-06-15 15:00:00,12
161,IT,2026-06-15 09:00:00,2026-06-15 13:00:00,7
162,Sales,2026-06-15 09:27:00,2026-06-15 14:27:00,1
163,HR,2026-06-15 09:02:00,2026-06-15 15:02:00,17
164,Sales,2026-06-15 08:53:00,2026-06-15 15:53:00,4
165,HR,2026-06-15 09:58:00,2026-06-15 13:58:00,16
166,Sales,2026-06-15 10:46:00,2026-06-15 18:46:00,13
167,HR,2026-06-15 10:50:00,2026-06-15 19:50:00,1
168,HR,2026-06-15 09:33:00,2026-06-15 14:33:00,14
169,Finance,2026-06-15 10:33:00,2026-06-15 17:33:00,5
170,IT,2026-06-15 10:59:00,2026-06-15 19:59:00,9
171,Finance,2026-06-15 08:04:00,2026-06-15 16:04:00,3
172,HR,2026-06-15 08:09:00,2026-06-15 12:09:00,19
173,Sales,2026-06-15 08:33:00,2026-06-15 17:33:00,1
174,IT,2026-06-15 09:42:00,2026-06-15 15:42:00,15
175,Finance,2026-06-15 10:46:00,2026-06-15 14:46:00,15
176,Finance,2026-06-15 10:53:00,2026-06-15 17:53:00,7
177,Sales,2026-06-15 08:02:00,2026-06-15 14:02:00,17
178,IT,2026-06-15 09:50:00,2026-06-15 15:50:00,4
179,HR,2026-06-15 09:21:00,2026-06-15 17:21:00,5
180,IT,2026-06-15 08:40:00,2026-06-15 15:40:00,13
181,HR,2026-06-15 08:13:00,2026-06-15 13:13:00,12
182,Finance,2026-06-15 08:25:00,2026-06-15 12:25:00,14
183,IT,2026-06-15 09:46:00,2026-06-15 18:46:00,10
184,Finance,2026-06-15 08:16:00,2026-06-15 13:16:00,3
185,IT,2026-06-15 08:34:00,2026-06-15 16:34:00,19
186,Finance,2026-06-15 10:55:00,2026-06-15 19:55:00,13
187,HR,2026-06-15 10:13:00,2026-06-15 15:13:00,12
188,HR,2026-06-15 09:58:00,2026-06-15 15:58:00,6
189,Finance,2026-06-15 10:22:00,2026-06-15 19:22:00,10
190,Finance,2026-06-15 08:17:00,2026-06-15 13:17:00,5
191,Finance,2026-06-15 10:14:00,2026-06-15 14:14:00,4
192,Sales,2026-06-15 09:38:00,2026-06-15 13:38:00,16
193,Finance,2026-06-15 09:25:00,2026-06-15 18:25:00,11
194,IT,2026-06-15 08:12:00,2026-06-15 15:12:00,3
195,HR,2026-06-15 10:40:00,2026-06-15 18:40:00,17
196,Finance,2026-06-15 10:21:00,2026-06-15 15:21:00,14
197,Sales,2026-06-15 08:43:00,2026-06-15 14:43:00,9
198,IT,2026-06-15 08:05:00,2026-06-15 15:05:00,1
199,Finance,2026-06-15 10:44:00,2026-06-15 19:44:00,4
200,IT,2026-06-15 08:52:00,2026-06-15 17:52:00,5
201,HR,2026-06-15 10:47:00,2026-06-15 17:47:00,10
202,HR,2026-06-15 09:29:00,2026-06-15 13:29:00,2
203,Finance,2026-06-15 10:39:00,2026-06-15 18:39:00,3
204,Sales,2026-06-15 10:05:00,2026-06-15 15:05:00,19
205,Sales,2026-06-15 10:03:00,2026-06-15 19:03:00,16
206,HR,2026-06-15 09:50:00,2026-06-15 18:50:00,1
207,Finance,2026-06-15 10:07:00,2026-06-15 15:07:00,18
208,IT,2026-06-15 08:05:00,2026-06-15 13:05:00,3
209,Finance,2026-06-15 08:19:00,2026-06-15 12:19:00,11
210,Finance,2026-06-15 08:25:00,2026-06-15 17:25:00,5
211,IT,2026-06-15 09:10:00,2026-06-15 16:10:00,12
212,Finance,2026-06-15 10:32:00,2026-06-15 19:32:00,17
213,Sales,2026-06-15 09:04:00,2026-06-15 14:04:00,11
214,HR,2026-06-15 08:39:00,2026-06-15 13:39:00,19
215,IT,2026-06-15 10:36:00,2026-06-15 14:36:00,16
216,IT,2026-06-15 10:14:00,2026-06-15 19:14:00,2
217,HR,2026-06-15 10:48:00,2026-06-15 18:48:00,11
218,HR,2026-06-15 09:52:00,2026-06-15 15:52:00,8
219,HR,2026-06-15 10:34:00,2026-06-15 14:34:00,7
220,Sales,2026-06-15 09:59:00,2026-06-15 17:59:00,7
221,Finance,2026-06-15 08:36:00,2026-06-15 17:36:00,2
222,IT,2026-06-15 08:04:00,2026-06-15 14:04:00,13
223,HR,2026-06-15 09:03:00,2026-06-15 13:03:00,12
224,HR,2026-06-15 08:17:00,2026-06-15 17:17:00,18
225,IT,2026-06-15 09:32:00,2026-06-15 13:32:00,16
226,IT,2026-06-15 10:54:00,2026-06-15 15:54:00,13
227,IT,2026-06-15 10:38:00,2026-06-15 16:38:00,5
228,HR,2026-06-15 10:06:00,2026-06-15 16:06:00,7
229,HR,2026-06-15 10:46:00,2026-06-15 18:46:00,0
230,Sales,2026-06-15 09:38:00,2026-06-15 15:38:00,3
231,IT,2026-06-15 09:56:00,2026-06-15 13:56:00,4
232,Finance,2026-06-15 10:32:00,2026-06-15 19:32:00,3
233,HR,2026-06-15 09:09:00,2026-06-15 17:09:00,9
234,IT,2026-06-15 09:37:00,2026-06-15 17:37:00,14
235,Sales,2026-06-15 08:23:00,2026-06-15 15:23:00,14
236,IT,2026-06-15 08:28:00,2026-06-15 15:28:00,11
237,IT,2026-06-15 09:26:00,2026-06-15 15:26:00,18
238,Sales,2026-06-15 09:42:00,2026-06-15 15:42:00,4
239,Sales,2026-06-15 10:09:00,2026-06-15 19:09:00,5
240,Sales,2026-06-15 10:46:00,2026-06-15 15:46:00,13
241,Finance,2026-06-15 09:12:00,2026-06-15 18:12:00,17
242,IT,2026-06-15 08:46:00,2026-06-15 15:46:00,10
243,Sales,2026-06-15 08:55:00,2026-06-15 16:55:00,7
244,Finance,2026-06-15 09:48:00,2026-06-15 16:48:00,8
245,HR,2026-06-15 10:28:00,2026-06-15 19:28:00,7
246,IT,2026-06-15 09:10:00,2026-06-15 13:10:00,13
247,IT,2026-06-15 08:25:00,2026-06-15 17:25:00,3
248,HR,2026-06-15 10:56:00,2026-06-15 14:56:00,18
249,Sales,2026-06-15 10:20:00,2026-06-15 14:20:00,8
250,HR,2026-06-15 08:52:00,2026-06-15 13:52:00,8
251,Finance,2026-06-15 10:51:00,2026-06-15 14:51:00,10
252,HR,2026-06-15 09:06:00,2026-06-15 14:06:00,1
253,Finance,2026-06-15 08:42:00,2026-06-15 14:42:00,11
254,Finance,2026-06-15 10:53:00,2026-06-15 14:53:00,6
255,Sales,2026-06-15 09:52:00,2026-06-15 13:52:00,16
256,IT,2026-06-15 10:42:00,2026-06-15 19:42:00,17
257,IT,2026-06-15 08:06:00,2026-06-15 12:06:00,19
258,IT,2026-06-15 08:19:00,2026-06-15 17:19:00,7
259,IT,2026-06-15 10:00:00,2026-06-15 18:00:00,18
260,Finance,2026-06-15 10:31:00,2026-06-15 19:31:00,16
261,IT,2026-06-15 08:29:00,2026-06-15 14:29:00,17
262,IT,2026-06-15 09:50:00,2026-06-15 14:50:00,1
263,HR,2026-06-15 08:49:00,2026-06-15 17:49:00,5
264,Finance,2026-06-15 10:03:00,2026-06-15 14:03:00,7
265,IT,2026-06-15 10:38:00,2026-06-15 16:38:00,9
266,HR,2026-06-15 10:45:00,2026-06-15 15:45:00,0
267,Finance,2026-06-15 10:27:00,2026-06-15 15:27:00,6
268,IT,2026-06-15 08:56:00,2026-06-15 14:56:00,7
269,HR,2026-06-15 08:46:00,2026-06-15 16:46:00,2
270,Finance,2026-06-15 08:27:00,2026-06-15 13:27:00,2
271,Sales,2026-06-15 09:31:00,2026-06-15 18:31:00,10
272,Sales,2026-06-15 08:53:00,2026-06-15 16:53:00,13
273,Finance,2026-06-15 10:47:00,2026-06-15 15:47:00,6
274,HR,2026-06-15 10:32:00,2026-06-15 18:32:00,18
275,Sales,2026-06-15 08:18:00,2026-06-15 15:18:00,17
276,HR,2026-06-15 08:46:00,2026-06-15 16:46:00,19
277,Finance,2026-06-15 09:01:00,2026-06-15 15:01:00,11
278,Sales,2026-06-15 08:36:00,2026-06-15 17:36:00,8
279,HR,2026-06-15 08:43:00,2026-06-15 14:43:00,19
280,HR,2026-06-15 09:43:00,2026-06-15 13:43:00,9
281,HR,2026-06-15 10:45:00,2026-06-15 14:45:00,17
282,Finance,2026-06-15 08:13:00,2026-06-15 12:13:00,7
283,HR,2026-06-15 08:24:00,2026-06-15 12:24:00,10
284,HR,2026-06-15 09:57:00,2026-06-15 17:57:00,12
285,HR,2026-06-15 10:36:00,2026-06-15 16:36:00,5
286,HR,2026-06-15 08:41:00,2026-06-15 15:41:00,8
287,HR,2026-06-15 09:16:00,2026-06-15 17:16:00,5
288,HR,2026-06-15 10:52:00,2026-06-15 15:52:00,5
289,Finance,2026-06-15 09:11:00,2026-06-15 17:11:00,6
290,HR,2026-06-15 08:16:00,2026-06-15 13:16:00,13
291,Sales,2026-06-15 09:59:00,2026-06-15 18:59:00,10
292,IT,2026-06-15 10:52:00,2026-06-15 17:52:00,18
293,HR,2026-06-15 08:20:00,2026-06-15 14:20:00,7
294,Finance,2026-06-15 08:58:00,2026-06-15 14:58:00,1
295,Finance,2026-06-15 10:23:00,2026-06-15 19:23:00,4
296,Sales,2026-06-15 08:57:00,2026-06-15 15:57:00,14
297,Sales,2026-06-15 10:34:00,2026-06-15 17:34:00,10
298,IT,2026-06-15 09:58:00,2026-06-15 17:58:00,10
299,HR,2026-06-15 08:25:00,2026-06-15 13:25:00,8
300,IT,2026-06-15 08:00:00,2026-06-15 12:00:00,10
301,Sales,2026-06-15 09:24:00,2026-06-15 15:24:00,2
302,HR,2026-06-15 08:43:00,2026-06-15 15:43:00,18
303,HR,2026-06-15 09:33:00,2026-06-15 16:33:00,18
304,IT,2026-06-15 10:58:00,2026-06-15 14:58:00,16
305,HR,2026-06-15 08:54:00,2026-06-15 12:54:00,14
306,Sales,2026-06-15 09:15:00,2026-06-15 15:15:00,7
307,Finance,2026-06-15 08:16:00,2026-06-15 16:16:00,15
308,HR,2026-06-15 08:17:00,2026-06-15 12:17:00,11
309,Finance,2026-06-15 10:25:00,2026-06-15 14:25:00,12
310,HR,2026-06-15 10:31:00,2026-06-15 15:31:00,15
311,Finance,2026-06-15 08:22:00,2026-06-15 13:22:00,6
312,HR,2026-06-15 10:52:00,2026-06-15 14:52:00,18
313,Sales,2026-06-15 09:58:00,2026-06-15 17:58:00,17
314,Finance,2026-06-15 09:51:00,2026-06-15 15:51:00,17
315,Finance,2026-06-15 09:38:00,2026-06-15 13:38:00,13
316,Finance,2026-06-15 10:43:00,2026-06-15 17:43:00,12
317,HR,2026-06-15 10:36:00,2026-06-15 16:36:00,7
318,HR,2026-06-15 10:22:00,2026-06-15 17:22:00,6
319,Finance,2026-06-15 08:03:00,2026-06-15 16:03:00,12
320,HR,2026-06-15 08:15:00,2026-06-15 16:15:00,9
321,Sales,2026-06-15 09:01:00,2026-06-15 15:01:00,9
322,HR,2026-06-15 09:58:00,2026-06-15 17:58:00,12
323,HR,2026-06-15 10:58:00,2026-06-15 19:58:00,19
324,IT,2026-06-15 09:48:00,2026-06-15 17:48:00,11
325,IT,2026-06-15 10:56:00,2026-06-15 15:56:00,6
326,Sales,2026-06-15 08:00:00,2026-06-15 17:00:00,16
327,Finance,2026-06-15 08:13:00,2026-06-15 17:13:00,17
328,Sales,2026-06-15 09:36:00,2026-06-15 13:36:00,15
329,IT,2026-06-15 08:45:00,2026-06-15 12:45:00,14
330,IT,2026-06-15 08:23:00,2026-06-15 15:23:00,11
331,Finance,2026-06-15 09:36:00,2026-06-15 17:36:00,4
332,Finance,2026-06-15 09:38:00,2026-06-15 18:38:00,10
333,HR,2026-06-15 08:33:00,2026-06-15 12:33:00,6
334,Sales,2026-06-15 10:07:00,2026-06-15 17:07:00,18
335,IT,2026-06-15 09:09:00,2026-06-15 15:09:00,1
336,IT,2026-06-15 09:40:00,2026-06-15 13:40:00,2
337,Sales,2026-06-15 09:04:00,2026-06-15 17:04:00,14
338,Finance,2026-06-15 08:08:00,2026-06-15 14:08:00,19
339,HR,2026-06-15 08:58:00,2026-06-15 13:58:00,2
340,HR,2026-06-15 09:16:00,2026-06-15 15:16:00,2
341,HR,2026-06-15 08:55:00,2026-06-15 16:55:00,14
342,IT,2026-06-15 08:03:00,2026-06-15 17:03:00,4
343,HR,2026-06-15 10:40:00,2026-06-15 16:40:00,8
344,Finance,2026-06-15 08:33:00,2026-06-15 15:33:00,9
345,IT,2026-06-15 10:39:00,2026-06-15 14:39:00,4
346,Finance,2026-06-15 10:33:00,2026-06-15 17:33:00,14
347,HR,2026-06-15 10:04:00,2026-06-15 15:04:00,17
348,HR,2026-06-15 08:59:00,2026-06-15 16:59:00,4
349,IT,2026-06-15 08:49:00,2026-06-15 16:49:00,18
350,HR,2026-06-15 10:55:00,2026-06-15 15:55:00,7
351,Finance,2026-06-15 08:44:00,2026-06-15 12:44:00,5
352,Sales,2026-06-15 10:15:00,2026-06-15 17:15:00,0
353,Finance,2026-06-15 10:47:00,2026-06-15 14:47:00,12
354,Finance,2026-06-15 08:24:00,2026-06-15 16:24:00,9
355,Sales,2026-06-15 10:26:00,2026-06-15 19:26:00,6
356,IT,2026-06-15 10:44:00,2026-06-15 15:44:00,18
357,Finance,2026-06-15 10:41:00,2026-06-15 15:41:00,10
358,IT,2026-06-15 09:38:00,2026-06-15 14:38:00,3
359,HR,2026-06-15 09:12:00,2026-06-15 17:12:00,11
360,Finance,2026-06-15 09:31:00,2026-06-15 17:31:00,13
361,Finance,2026-06-15 08:40:00,2026-06-15 12:40:00,7
362,Finance,2026-06-15 09:59:00,2026-06-15 17:59:00,2
363,Sales,2026-06-15 09:18:00,2026-06-15 18:18:00,6
364,HR,2026-06-15 08:31:00,2026-06-15 13:31:00,14
365,HR,2026-06-15 08:28:00,2026-06-15 17:28:00,3
366,Sales,2026-06-15 09:03:00,2026-06-15 15:03:00,16
367,Sales,2026-06-15 09:16:00,2026-06-15 14:16:00,0
368,HR,2026-06-15 09:55:00,2026-06-15 15:55:00,17
369,HR,2026-06-15 09:46:00,2026-06-15 17:46:00,11
370,Sales,2026-06-15 10:34:00,2026-06-15 17:34:00,11
371,Finance,2026-06-15 08:10:00,2026-06-15 12:10:00,5
372,Finance,2026-06-15 10:31:00,2026-06-15 16:31:00,10
373,HR,2026-06-15 10:25:00,2026-06-15 15:25:00,13
374,HR,2026-06-15 08:03:00,2026-06-15 12:03:00,2
375,IT,2026-06-15 08:38:00,2026-06-15 16:38:00,10
376,Sales,2026-06-15 09:46:00,2026-06-15 18:46:00,19
377,HR,2026-06-15 10:26:00,2026-06-15 16:26:00,16
378,HR,2026-06-15 08:20:00,2026-06-15 16:20:00,19
379,HR,2026-06-15 10:56:00,2026-06-15 18:56:00,2
380,Finance,2026-06-15 08:57:00,2026-06-15 15:57:00,5
381,Finance,2026-06-15 09:34:00,2026-06-15 13:34:00,11
382,HR,2026-06-15 10:43:00,2026-06-15 16:43:00,7
383,Sales,2026-06-15 09:24:00,2026-06-15 13:24:00,7
384,Finance,2026-06-15 10:45:00,2026-06-15 15:45:00,19
385,Finance,2026-06-15 10:28:00,2026-06-15 17:28:00,2
386,Sales,2026-06-15 09:14:00,2026-06-15 13:14:00,13
387,Finance,2026-06-15 08:43:00,2026-06-15 15:43:00,3
388,IT,2026-06-15 09:47:00,2026-06-15 13:47:00,1
389,Sales,2026-06-15 10:12:00,2026-06-15 14:12:00,7
390,IT,2026-06-15 09:29:00,2026-06-15 14:29:00,13
391,Finance,2026-06-15 10:37:00,2026-06-15 16:37:00,12
392,IT,2026-06-15 08:59:00,2026-06-15 17:59:00,8
393,Sales,2026-06-15 10:21:00,2026-06-15 16:21:00,8
394,IT,2026-06-15 08:45:00,2026-06-15 17:45:00,19
395,IT,2026-06-15 09:39:00,2026-06-15 14:39:00,0
396,HR,2026-06-15 08:32:00,2026-06-15 12:32:00,12
397,HR,2026-06-15 08:12:00,2026-06-15 15:12:00,6
398,HR,2026-06-15 09:38:00,2026-06-15 14:38:00,13
399,HR,2026-06-15 09:14:00,2026-06-15 14:14:00,9
400,Finance,2026-06-15 08:39:00,2026-06-15 14:39:00,2
401,Finance,2026-06-15 09:08:00,2026-06-15 18:08:00,8
402,Finance,2026-06-15 10:31:00,2026-06-15 14:31:00,17
403,Sales,2026-06-15 09:27:00,2026-06-15 18:27:00,19
404,HR,2026-06-15 10:58:00,2026-06-15 16:58:00,19
405,Sales,2026-06-15 09:57:00,2026-06-15 18:57:00,2
406,Finance,2026-06-15 08:59:00,2026-06-15 13:59:00,13
407,Finance,2026-06-15 09:53:00,2026-06-15 16:53:00,11
408,IT,2026-06-15 08:44:00,2026-06-15 14:44:00,18
409,Finance,2026-06-15 09:35:00,2026-06-15 17:35:00,7
410,IT,2026-06-15 10:52:00,2026-06-15 16:52:00,11
411,HR,2026-06-15 09:17:00,2026-06-15 15:17:00,4
412,Sales,2026-06-15 08:58:00,2026-06-15 14:58:00,9
413,Finance,2026-06-15 10:28:00,2026-06-15 19:28:00,14
414,IT,2026-06-15 10:11:00,2026-06-15 14:11:00,19
415,IT,2026-06-15 09:19:00,2026-06-15 16:19:00,17
416,IT,2026-06-15 10:31:00,2026-06-15 14:31:00,3
